"","word","freq"
"235","use",2505
"175","can",1974
"243","write",1551
"66","one",1509
"121","will",1475
"201","get",1310
"168","articl",1237
"270","like",1230
"655","window",1132
"196","file",1065
"404","know",1063
"208","just",988
"122","work",936
"641","drive",933
"187","dont",920
"106","system",866
"552","problem",813
"319","card",806
"163","also",792
"60","need",783
"649","run",773
"230","time",770
"296","imag",769
"109","thank",746
"271","look",742
"77","program",710
"164","anyon",681
"521","good",653
"139","make",606
"157","want",603
"5090","scsi",598
"232","tri",596
"864","driver",594
"33","email",594
"261","help",576
"229","think",569
"22","comput",569
"171","bit",558
"72","pleas",531
"52","may",523
"847","new",522
"621","much",521
"228","thing",520
"371","graphic",517
"21575","bike",515
"165","apr",514
"1551","control",513
"240","well",506
"424","two",504
"389","data",499
"2496","disk",497
"297","ive",497
"416","set",485
"450","way",463
"1439","now",459
"97","softwar",450
"994","say",438
"17","call",431
"1019","line",430
"355","see",426
"1409","read",421
"237","version",421
"334","even",419
"4541","wire",417
"13","avail",416
"448","support",414
"8997","dod",404
"504","differ",402
"135","etc",400
"197","find",399
"63","number",391
"73","point",390
"944","dos",386
"277","post",383
"780","take",378
"360","someth",378
"1259","seem",370
"295","got",369
"42","includ",368
"219","right",366
"669","question",361
"284","univers",360
"198","first",360
"1155","back",355
"25","current",353
"1364","peopl",347
"703","mani",346
"43","inform",346
"612","hard",344
"2180","speed",340
"370","format",340
"1528","power",338
"4148","ground",330
"533","machin",330
"25442","ride",323
"940","buy",323
"177","come",320
"222","sinc",313
"806","cant",312
"899","mode",310
"853","realli",309
"321","color",306
"681","chip",303
"642","high",297
"631","still",297
"576","year",295
"225","sure",294
"1726","instal",293
"487","better",293
"74","possibl",292
"667","packag",290
"756","lot",288
"336","give",287
"2535","bus",284
"21","code",281
"537","memori",280
"630","start",279
"37","fax",278
"594","requir",277
"506","display",274
"469","mail",274
"1297","list",268
"292","around",268
"273","name",268
"1676","send",267
"1079","chang",267
"40","group",267
"648","phone",264
"5","address",264
"346","monitor",262
"266","interest",260
"111","type",260
"754","least",259
"210","mean",257
"242","without",254
"124","advanc",254
"8743","ide",251
"967","jpeg",251
"917","anoth",250
"820","actual",250
"507","doesnt",249
"146","someon",249
"665","littl",248
"438","might",248
"250","appreci",247
"1283","anyth",245
"56","must",245
"112","video",244
"2026","circuit",243
"603","box",243
"873","board",242
"714","devic",242
"258","great",242
"807","connect",240
"351","probabl",240
"226","tell",240
"29","design",239
"44","internet",238
"966","info",236
"516","fast",236
"200","ftp",236
"1343","copi",235
"1095","check",235
"2157","port",234
"995","standard",231
"1198","part",230
"494","case",230
"1141","note",228
"7","applic",228
"2033","day",227
"575","wrote",226
"41","howev",226
"2166","switch",223
"542","old",222
"209","last",221
"363","turn",218
"659","free",216
"247","access",216
"3050","mhz",215
"842","idea",215
"569","suggest",214
"775","size",213
"560","screen",213
"223","sourc",213
"1192","put",211
"561","second",211
"512","either",211
"372","hardwar",211
"301","never",211
"129","ask",211
"444","provid",209
"205","interfac",209
"1260","seen",208
"1131","end",208
"850","place",208
"379","that",208
"683","compani",207
"1415","follow",206
"808","cost",206
"852","pub",205
"835","abl",205
"54","model",205
"818","though",204
"25368","motorcycl",202
"823","book",202
"709","anybodi",202
"577","yes",202
"451","your",202
"385","best",202
"943","digit",201
"1164","tape",200
"405","let",199
"286","user",199
"797","keep",197
"741","convert",196
"1824","font",194
"868","site",194
"194","els",194
"34","engin",193
"1887","ram",190
"1199","rate",190
"1420","said",189
"1268","test",189
"257","found",189
"1053","usual",188
"374","mac",188
"672","sound",187
"443","product",187
"726","reason",186
"586","didnt",186
"2443","local",185
"1569","manag",185
"906","stuff",185
"992","refer",184
"465","far",184
"182","directori",183
"147","state",182
"973","bad",181
"961","gif",180
"326","correct",180
"2319","perform",178
"1971","oper",178
"1070","origin",178
"812","ill",178
"333","enough",178
"9107","pin",177
"2144","com",177
"723","output",177
"1124","allow",175
"833","subject",175
"24","contact",175
"1917","win",174
"449","technolog",174
"440","next",174
"1651","made",173
"358","small",173
"2290","kind",172
"988","opinion",172
"664","heard",172
"221","sever",172
"1656","person",171
"1090","price",171
"179","creat",171
"144","real",171
"2497","floppi",170
"2148","error",169
"2078","light",169
"2715","car",168
"800","order",168
"1300","bio",167
"1277","everi",167
"1242","long",167
"986","john",167
"535","mayb",167
"1012","featur",165
"312","wonder",165
"751","hope",164
"1252","rather",162
