"","word","freq"
"102","said",19851
"437","year",6280
"271","will",5938
"323","compani",5646
"1344","percent",5270
"74","million",4952
"371","market",4629
"465","analyst",4048
"110","share",3565
"81","new",3513
"473","bank",3141
"4071","china",3066
"623","billion",3061
"86","one",2831
"7","also",2696
"648","expect",2669
"1560","price",2366
"1755","profit",2354
"51","group",2299
"16","busi",2291
"540","last",2282
"1054","industri",2256
"799","stock",2113
"426","two",1966
"164","corp",1964
"227","plan",1944
"907","first",1921
"103","sale",1914
"3911","hong",1875
"116","state",1870
"125","trade",1857
"3914","kong",1850
"357","govern",1800
"77","month",1723
"388","oper",1721
"718","unit",1702
"99","report",1696
"108","servic",1663
"559","offici",1625
"699","say",1609
"395","product",1587
"638","deal",1512
"3496","pound",1487
"3005","quarter",1446
"436","week",1427
"286","execut",1425
"122","time",1423
"712","told",1402
"674","manag",1400
"930","make",1376
"4630","chines",1374
"343","end",1370
"128","use",1364
"382","next",1363
"362","increas",1322
"203","like",1316
"136","world",1281
"224","peopl",1280
"666","invest",1277
"84","offer",1277
"2549","british",1275
"1531","cost",1251
"361","includ",1241
"2803","beij",1228
"360","inc",1222
"216","now",1218
"597","take",1205
"516","financi",1198
"420","three",1182
"366","issu",1141
"156","can",1139
"650","firm",1138
"365","intern",1135
"750","chief",1125
"37","earn",1109
"866","result",1101
"71","major",1087
"236","rate",1080
"22","comput",1080
"935","news",1078
"653","foreign",1073
"72","may",1062
"48","fund",1055
"17","call",1044
"1251","close",1043
"78","nation",1042
"117","still",1040
"260","system",1038
"795","sinc",1027
"916","growth",1021
"786","recent",1021
"251","secur",1014
"171","develop",1000
"442","continu",993
"223","part",975
"126","tuesday",942
"133","wednesday",938
"61","investor",936
"2546","bid",933
"982","current",925
"435","want",924
"8","announc",924
"819","around",921
"825","chairman",920
"372","meet",919
"4077","franc",911
"905","export",911
"232","presid",911
"1238","think",908
"842","friday",896
"135","work",896
"208","mani",895
"109","set",895
"60","internet",890
"1199","reuter",884
"169","day",881
"3084","sharehold",880
"49","get",880
"212","move",877
"69","local",877
"445","interest",875
"381","need",873
"775","made",872
"6135","tonn",868
"960","strong",862
"847","high",855
"585","rule",855
"933","monday",853
"407","see",851
"28","custom",851
"154","buy",845
"870","sourc",842
"158","chang",840
"829","come",827
"50","good",818
"856","look",811
"967","well",808
"313","back",807
"1020","thursday",804
"1203","total",799
"552","much",797
"1752","plant",792
"508","exchang",789
"948","right",788
"844","half",787
"598","talk",778
"621","big",777
"1616","remain",774
"981","countri",773
"614","alreadi",773
"52","help",773
"214","network",772
"2460","rise",769
"1760","second",769
"617","anoth",769
"217","offic",765
"196","just",765
"1936","parti",759
"822","base",758
"518","futur",756
"1532","cut",755
"830","competit",755
"755","declin",744
"120","technolog",744
"3400","per",742
"656","general",738
"867","revenu",737
"387","open",734
"862","point",733
"809","valu",726
"869","show",723
"1704","import",722
"1658","merger",718
"1563","region",717
"250","sector",716
"3106","ltd",714
"107","sell",714
"612","allow",712
"2548","britain",711
"1646","hold",710
"573","provid",706
"36","earli",705
"689","problem",699
"384","number",689
"66","law",687
"1130","loss",683
"176","earlier",679
"1018","start",678
"24","consum",674
"3577","penc",667
"369","level",667
"2932","forecast",664
"3458","oil",660
"1828","capit",659
"1386","largest",659
"296","posit",657
"5835","gold",655
"5748","cent",655
"635","court",649
"34","director",646
"255","softwar",644
"1547","line",639
"1555","pay",638
"18","charg",638
"943","power",632
"1250","build",626
"373","member",626
"2429","higher",625
"1331","give",619
"182","even",616
"2273","czech",615
"1778","agreement",613
"1363","amp",613
"121","third",613
"1305","spokesman",608
"1267","gain",599
"1036","demand",597
"70","lower",597
"1022","way",592
"752","comment",592
"160","communic",590
"1222","long",589
"1118","five",588
"228","possibl",587
"1161","worker",586
"3014","asset",585
"588","sever",585
"397","propos",585
"690","put",584
"234","public",584
"3385","acquisit",583
"146","area",582
"985","econom",581
"438","air",581
"3","account",581
"411","six",580
"353","four",580
"447","statement",579
"1613","produc",576
"4787","wang",575
"3149","leader",565
"517","follow",565
"570","project",562
"3490","launch",558
"2905","stake",557
"80","net",557
"1535","due",555
"1227","polit",552
"2463","rose",551
"1038","domest",549
"529","howev",549
"11","becom",549
"837","estim",547
"923","key",546
"655","former",546
"1155","term",545
"123","top",545
"1592","ago",539
"403","rais",539
"527","hope",538
"2960","improv",536
"640","decis",535
"3509","cash",530
"652","forc",528
"454","lead",527
"1266","financ",526
"481","canada",526
"970","activ",522
"633","contract",522
"2315","london",521
"932","microsoft",521
"358","grow",521
"611","agre",517
"1401","relat",516
"2647","trader",512
"427","union",512
"293","larg",510
"1337","insur",509
"937","order",508
"76","money",506
"101","run",505
"5899","mci",504
"247","return",504
"2484","telecom",499
"1042","far",496
"2890","minist",494
"367","june",493
"327","control",493
"13","board",493
"939","partner",492
"1073","seen",491
"2399","biggest",487
"1999","main",487
"484","clear",486
"5123","canadian",485
"644","electr",485
"424","tri",484
"5994","airlin",482
"817","american",482
"324","concern",482
"1892","japan",481
"2541","europ",479
"2077","near",479
"453","interview",479
"3024","elect",477
"577","record",477
"482","case",472
"3578","plc",471
"983","dont",471
"380","name",471
"974","believ",470
"954","sign",470
"632","consid",470
"3404","rival",469
"599","tax",469
"2279","european",468
"1254","corpor",467
"161","compar",465
"813","accord",463
"579","regul",463
"565","polici",463
"53","home",463
"1091","approv",460
"838","figur",460
"2418","fall",459
"469","ask",459
"1624","televis",455
"3535","newspap",451
"868","septemb",450
"1661","own",449
"1361","ventur",448
"404","reach",447
"152","boost",445
"1733","decemb",443
"616","among",443
"815","although",441
"229","post",440
"4287","car",439
"195","job",439
"2156","retail",438
"417","telephon",438
"57","inform",437
"853","late",435
"820","atampt",432
"1245","annual",431
"4666","taiwan",430
"1674","york",429
"1574","whether",427
"21","commiss",427
"434","vote",426
"802","support",424
"3489","joint",423
"995","head",423
"149","better",423
"10","author",423
"5126","french",422
"2847","media",422
"197","keep",421
"165","creat",421
"1284","march",420
"566","potenti",418
"225","perform",416
"777","might",415
"91","place",413
"3091","takeov",412
"1837","ford",412
"4919","russia",411
"451","complet",411
"1292","past",410
"277","citi",409
"3897","negoti",408
"543","littl",408
"305","ahead",408
"1255","despit",407
"284","effect",407
"318","central",406
"2891","newsroom",404
"1124","institut",404
"2998","dividend",403
"2153","period",403
"370","life",403
"2419","fell",402
"449","aim",402
"2220","appl",398
"5057","boe",397
"1307","target",397
"855","less",397
"545","lot",397
"512","face",396
"3750","asia",393
"1561","receiv",393
"1063","octob",391
"2","access",390
"773","least",388
"325","confer",388
"3020","debt",387
"1655","loan",386
"2444","low",385
"707","strike",385
"7170","brex",384
"314","cabl",384
"908","focus",383
"776","mean",383
"379","must",382
"1382","hous",380
"680","novemb",380
"297","research",380
"178","electron",377
"1175","economi",375
"2413","crown",372
"1556","phone",372
"33","direct",372
"1128","juli",371
"1064","process",371
"355","global",371
"275","associ",371
"42","feder",369
"1478","full",368
"1077","store",368
"3086","specul",367
"2824","toronto",367
"2518","hit",367
"564","person",366
"9461","shanghai",365
"1479","giant",365
"1190","note",365
"816","america",364
"1240","turn",362
"800","street",362
"2621","ministri",361
"642","dollar",360
"3196","communist",359
"496","credit",359
"322","committe",358
"8290","drug",357
"622","bill",357
"6420","airbus",356
"951","senior",356
"4199","australia",355
"1456","small",355
"525","held",355
"62","involv",354
"1461","view",352
"2693","australian",351
"112","signific",351
"2940","restructur",349
"794","side",349
"2107","success",348
"1510","benefit",348
"1043","final",348
"10660","tung",347
"2433","index",347
"1518","rang",347
"2651","western",345
"1297","previous",344
"1216","detail",344
"1082","without",344
"4288","carrier",341
"1347","pressur",341
"1962","combin",340
"663","independ",340
"416","telecommun",339
"458","releas",338
"2722","south",337
"821","averag",336
"408","seek",335
"335","discuss",335
"87","opportun",333
"1638","democrat",330
"1202","thing",330
"245","requir",330
"594","step",328
"504","depart",328
"727","warn",323
"138","abl",322
"2777","drop",321
"1605","list",320
"2710","mine",319
"2653","worth",319
"575","real",319
"505","differ",319
"3491","link",318
"2642","suppli",318
"672","lost",318
"486","commerci",318
"1181","huge",317
"608","yet",317
"130","visit",317
"1137","north",316
"858","margin",316
"188","form",316
"4310","vehicl",315
"789","repres",315
"4857","human",314
"522","hand",314
"272","within",312
"499","data",311
"3108","maker",307
"402","question",307
"966","washington",306
"562","other",305
"2199","japanes",304
"929","limit",304
"509","exist",303
"1687","northern",302
"736","addit",302
"58","initi",302
"1864","programm",301
"269","war",301
"184","expand",301
"113","site",301
"65","later",301
"1965","food",300
"852","januari",300
"536","john",300
"5","agenc",300
"1380","given",299
"811","wall",299
"675","mark",299
"148","avail",299
"2222","ban",298
"848","hour",297
"997","incom",296
"462","action",296
"823","begin",295
"483","certain",294
"219","onlin",294
"976","buyer",293
"2602","confid",292
"1197","push",292
"713","took",292
"4436","metal",291
"1852","came",291
"1105","condit",290
"311","august",290
"2896","privatis",288
"1469","bring",287
"3826","ship",286
"1633","broker",286
"1071","save",286
"839","find",286
"2588","sunday",284
"618","appear",284
"6109","cargo",283
"2703","fourth",283
"414","standard",283
"3611","strategi",282
"871","spend",281
"233","privat",281
"6755","automak",280
"6372","uaw",280
"4854","dissid",280
"4371","southern",280
"2366","season",280
"4877","trial",279
"2387","util",278
"304","accept",278
"6","allianc",278
"119","taken",275
"1527","carri",274
"1400","reduc",274
"1885","divis",273
"1129","latest",273
"1116","famili",272
"578","reform",272
"268","vice",272
"3819","fiscal",271
"576","realli",270
"332","decid",270
"1973","motor",269
"541","legal",269
"4306","truck",267
"3015","attract",266
"2219","yen",266
"1289","mutual",266
"1740","impact",265
"1090","appeal",265
"134","wide",265
"90","particular",265
"9292","copper",263
"2225","centr",263
"199","know",263
"2879","equiti",262
"368","known",262
"3046","purchas",261
"2943","transport",261
"396","properti",261
"2815","probabl",260
"1907","win",260
"956","sold",260
"938","outsid",260
"592","special",260
"1309","there",259
"172","digit",259
"1928","join",258
"1189","nine",258
"1146","respons",258
"882","administr",258
"98","qualiti",258
