"","word","freq"
"90","movi",19460
"135","film",18185
"92","one",10651
"141","like",8757
"28","just",7135
"54","time",5885
"31","make",5811
"24","good",5780
"67","charact",5616
"211","get",5549
"185","watch",5509
"178","see",5501
"49","stori",5242
"15","even",5098
"275","realli",4635
"6","can",4412
"718","show",4320
"41","scene",4078
"410","well",3911
"265","much",3826
"580","look",3816
"170","love",3777
"283","will",3739
"26","great",3666
"122","bad",3641
"62","also",3635
"317","peopl",3626
"163","first",3600
"131","end",3538
"52","think",3483
"95","play",3409
"186","way",3388
"204","dont",3342
"117","act",3281
"264","made",3198
"183","thing",3101
"42","seem",2961
"84","know",2932
"277","say",2896
"326","work",2719
"233","two",2713
"118","actor",2713
"581","mani",2699
"196","come",2631
"159","best",2624
"155","want",2617
"228","take",2611
"616","year",2604
"43","seen",2585
"260","life",2573
"146","plot",2558
"649","never",2556
"262","littl",2458
"607","tri",2436
"305","give",2345
"32","man",2339
"133","ever",2336
"399","still",2195
"712","perform",2168
"4","better",2153
"18","feel",2149
"2146","find",2112
"174","part",2051
"1259","use",1999
"281","someth",1998
"127","director",1983
"845","back",1972
"190","actual",1898
"138","interest",1868
"72","doesnt",1856
"794","cast",1839
"588","real",1824
"142","lot",1817
"91","new",1780
"46","star",1771
"191","anoth",1746
"77","funni",1745
"102","role",1735
"585","now",1724
"1542","origin",1717
"668","though",1713
"296","didnt",1710
"586","old",1691
"351","enjoy",1671
"945","live",1648
"648","music",1619
"74","everi",1619
"650","noth",1610
"271","point",1593
"862","young",1592
"519","guy",1587
"47","start",1555
"391","set",1543
"690","believ",1538
"291","cant",1538
"561","girl",1536
"747","direct",1517
"521","kill",1509
"188","wonder",1509
"1138","world",1498
"633","fact",1497
"387","quit",1476
"1821","famili",1465
"1075","day",1465
"9","comedi",1458
"407","thought",1445
"1125","that",1444
"55","turn",1444
"372","may",1418
"137","howev",1406
"563","got",1388
"750","effect",1380
"539","beauti",1375
"820","enough",1372
"772","need",1367
"285","action",1364
"621","around",1360
"506","bit",1360
"799","happen",1352
"241","big",1349
"1975","friend",1342
"957","alway",1341
"219","minut",1340
"714","right",1338
"166","ive",1324
"973","long",1317
"177","pretti",1317
"1084","final",1314
"104","script",1311
"301","fan",1305
"540","becom",1294
"612","without",1289
"806","saw",1286
"572","high",1273
"254","horror",1264
"713","person",1263
"943","least",1257
"802","last",1253
"589","reason",1241
"725","tell",1240
"120","almost",1237
"39","put",1237
"87","line",1231
"787","there",1225
"1199","seri",1222
"197","complet",1213
"514","done",1211
"1283","must",1204
"1151","hard",1204
"947","place",1200
"259","kind",1194
"60","whole",1194
"643","isnt",1192
"33","might",1191
"134","expect",1188
"613","woman",1171
"169","laugh",1167
